Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person,Nama Lengkap,Harga,Nama Barang,Total Harga
Widjaja@ymail.com,Dumai,2018-11-25,KP0750AJ,36200,6,4.0,Swift Delivery,Y,Mf-222,Diana Widjaja,18000000.0,Arabica Java 50kg,108000000.0
Shyam@ymail.com,Tasikmalaya,2018-11-24,KP0425CB,35635,9,4.0,Swift Delivery,Y,Zo-409,Andrew  Shyam,27250000.0,Congo Blue Blend 25kg,245250000.0
Kencanawati@livex.com,Tebingtinggi,2018-11-23,KP0925SG,36639,6,5.0,Pru Logistic,Y,Qv-662,Cecilia Kencanawati,15000000.0,Sidikalang Gold Blend 25kg,90000000.0
Karamchandani@gmail.com,Batu,2018-11-21,KP0050AG,35401,5,4.0,Wakanda Express,Y,Mw-123,Andrew  Karamchandani,16250000.0,Aceh Gayo 50kg,81250000.0
Kalla@livex.com,Banda Aceh,2018-11-21,KP0750AJ,35954,10,4.0,Wakanda Express,Y,Fi-101,Andrew Kalla,18000000.0,Arabica Java 50kg,180000000.0
Danamon@ymail.com,Subulussalam,2018-11-20,KP0625AF,35789,4,4.0,Cepat Kirim,Y,Hu-101,Danamon Prakash,12000000.0,Arabica Flores 25kg,48000000.0
Alatas@outlookx.com,Tangerang,2018-11-19,KP0425CB,36816,6,4.0,JENT,N,Rh-500,Okkie Alatas ,27250000.0,Congo Blue Blend 25kg,163500000.0
Elly@icloudx.com,Lubuklinggau,2018-11-18,KP0225BB,36261,2,4.0,JENT,Y,Ci-661,Elly  Winoto,10000000.0,Breakfast Blend 25kg,20000000.0
Chondro@gmail.com,Padangpanjang,2018-11-18,KP0850FB,35409,7,4.0,Pru Logistic,Y,Oz-559,Ivan Chondro,21000000.0,Flores Blend 50kg,147000000.0
EL@ymail.com,Kupang,2018-11-16,KP0850FB,36974,3,4.0,Swift Delivery,Y,Gc-185,Han El,21000000.0,Flores Blend 50kg,63000000.0
Denisse@gmail.com,Pagaralam,2018-11-16,KP0150BH,36471,7,4.0,Swift Delivery,Y,Ux-661,Fabian Denisse,27000000.0,Bali Honey 50kg,189000000.0
Donny@livex.com,Pekanbaru,2018-11-16,KP0750AJ,35436,10,4.0,Swift Delivery,Y,Xi-222,Donny Nova,18000000.0,Arabica Java 50kg,180000000.0
Say@gmail.com,Gorontalo,2018-11-15,KP0625AF,36899,10,4.0,Wakanda Express,Y,Lx-983,Kendra Say,12000000.0,Arabica Flores 25kg,120000000.0
Mahesa@livex.com,Tual,2018-11-14,KP0225BB,35519,7,4.0,Cepat Kirim,Y,De-171,Mahesa  Chairil,10000000.0,Breakfast Blend 25kg,70000000.0
YUSUF@ymail.com,Tegal,2018-11-13,KP0150BH,35911,10,4.0,Cepat Kirim,Y,Zv-410,Johny Yusuf,27000000.0,Bali Honey 50kg,270000000.0
Kastono@icloudx.com,Bekasi,2018-11-11,KP0850FB,36932,5,4.0,Pru Logistic,Y,St-409,Dominique Kastono,21000000.0,Flores Blend 50kg,105000000.0
Shinta@livex.com,Manado,2018-11-09,KP0925SG,35905,10,4.0,Pru Logistic,N,Il-221,Shinta  Berliana,15000000.0,Sidikalang Gold Blend 25kg,150000000.0
Ralhan@gmail.com,Tual,2018-11-09,KP0425CB,36992,9,4.0,Pru Logistic,Y,Uw-171,Ardy  Ralhan,27250000.0,Congo Blue Blend 25kg,245250000.0
Lucky@rocketmail.com,Ternate,2018-11-09,KP0850FB,35543,6,4.0,JENT,Y,Op-160,Lucky Natawindjaja,21000000.0,Flores Blend 50kg,126000000.0
Dewi@livex.com,Palu,2018-11-07,KP0150BH,35367,10,1.0,JENT,Y,Wi-280,Dewi Dudaney,27000000.0,Bali Honey 50kg,270000000.0
Gautama@icloudx.com,Subulussalam,2018-11-06,KP0225BB,35696,10,4.0,JENT,Y,Ds-101,Lenny  Gautama,10000000.0,Breakfast Blend 25kg,100000000.0
Surjana@outlookx.com,Pagaralam,2018-11-06,KP0425CB,35873,9,3.0,Wakanda Express,N,Nl-661,Sri Surjana,27250000.0,Congo Blue Blend 25kg,245250000.0
Hendrik@gmail.com,Samarinda,2018-11-03,KP0850FB,36628,3,4.0,Swift Delivery,Y,Ag-993,Hendrik  Wijaya,21000000.0,Flores Blend 50kg,63000000.0
Edy@gmail.com,Palopo,2018-11-02,KP0350CF,35884,2,4.0,JENT,Y,Om-290,Edy Zaini ,35000000.0,Colombie Finest Blend 50kg,70000000.0
Raju@livex.com,Cimahi,2018-11-01,KP0050AG,35388,4,4.0,JENT,N,Nt-409,Raju Pribadi,16250000.0,Aceh Gayo 50kg,65000000.0
Jeannie@ymail.com,Blitar,2018-11-01,KP0050AG,35722,2,4.0,Wakanda Express,Y,Tc-123,Jeannie Limited,16250000.0,Aceh Gayo 50kg,32500000.0
Kindarto@gmail.com,Bukittinggi,2018-10-28,KP0850FB,36254,8,2.0,JENT,Y,Ok-559,Kindarto Lipina ,21000000.0,Flores Blend 50kg,168000000.0
Budiman@outlookx.com,Bukittinggi,2018-10-26,KP0850FB,36287,10,4.0,Swift Delivery,N,Bo-559,Song Budiman,21000000.0,Flores Blend 50kg,210000000.0
Rachmat@ymail.com,Magelang,2018-10-26,KP0625AF,36224,9,4.0,Swift Delivery,N,Tm-410,Rachmat Raharja,12000000.0,Arabica Flores 25kg,108000000.0
Listyani@ymail.com,Jayapura,2018-10-25,KP0050AG,36016,2,3.0,Wakanda Express,Y,Hp-990,Listyani Hadi,16250000.0,Aceh Gayo 50kg,32500000.0
DRS@gmail.com,Mataram,2018-10-24,KP0925SG,35588,9,4.0,Cepat Kirim,Y,Yz-183,Drs Joantina,15000000.0,Sidikalang Gold Blend 25kg,135000000.0
Miqailla@gmail.com,Banjarmasin,2018-10-24,KP0850FB,35079,10,4.0,Wakanda Express,Y,Kk-991,Iwa Miqailla,21000000.0,Flores Blend 50kg,210000000.0
Michael@gmail.com,Kediri,2018-10-23,KP0925SG,36328,9,4.0,Swift Delivery,Y,Fh-123,Michael Agustino,15000000.0,Sidikalang Gold Blend 25kg,135000000.0
Isenta@gmail.com,Sorong,2018-10-22,KP0625AF,35864,6,4.0,JENT,Y,Df-999,Amelia Isenta,12000000.0,Arabica Flores 25kg,72000000.0
Soetikno@ymail.com,Bima,2018-10-21,KP0050AG,36255,3,4.0,JENT,Y,Xe-183,Jusup  Soetikno,16250000.0,Aceh Gayo 50kg,48750000.0
Is@gmail.com,Bau-Bau,2018-10-20,KP0425CB,35835,4,4.0,JENT,Y,Fj-250,Hendriko  Is ,27250000.0,Congo Blue Blend 25kg,109000000.0
Sri@rocketmail.com,Kediri,2018-10-17,KP0750AJ,36435,4,5.0,Cepat Kirim,N,Pb-123,Sri Rais,18000000.0,Arabica Java 50kg,72000000.0
Jahja@gmail.com,Jakarta Selatan,2018-10-16,KP0350CF,35147,4,4.0,Wakanda Express,Y,Sd-333,Jahja  Tjung,35000000.0,Colombie Finest Blend 50kg,140000000.0
Raymond@ymail.com,Mataram,2018-10-16,KP0925SG,35819,8,4.0,JENT,N,Na-183,Raymond Robert ,15000000.0,Sidikalang Gold Blend 25kg,120000000.0
ETI@outlookx.com,Serang,2018-10-15,KP0050AG,35721,7,5.0,JENT,Y,Kp-500,Betty  Eti,16250000.0,Aceh Gayo 50kg,113750000.0
Yanto@ymail.com,Tual,2018-10-15,KP0625AF,35029,3,4.0,JENT,Y,Db-171,Angie Yanto,12000000.0,Arabica Flores 25kg,36000000.0
Budi@ymail.com,Medan,2018-10-15,KP0850FB,36292,6,4.0,Wakanda Express,Y,Zz-662,Budi Atman,21000000.0,Flores Blend 50kg,126000000.0
Roni@ymail.com,Tanjungpinang,2018-10-14,KP0150BH,35113,6,4.0,JENT,N,St-809,Roni  Zaini ,27000000.0,Bali Honey 50kg,162000000.0
Suryadi@livex.com,Ternate,2018-10-14,KP0625AF,35155,8,4.0,JENT,Y,Fs-160,Agus Suryadi ,12000000.0,Arabica Flores 25kg,96000000.0
Paasch@outlookx.com,Bau-Bau,2018-10-14,KP0850FB,35440,2,4.0,JENT,Y,Nn-250,Clarence Paasch,21000000.0,Flores Blend 50kg,42000000.0
Isenta@ymail.com,Tangerang Selatan,2018-10-13,KP0625AF,36626,3,4.0,JENT,Y,Wr-500,Isenta  Faridz ,12000000.0,Arabica Flores 25kg,36000000.0
Nigel@rocketmail.com,Tangerang Selatan,2018-10-09,KP0750AJ,35160,10,4.0,Wakanda Express,N,Dh-500,Nigel  Widjaya,18000000.0,Arabica Java 50kg,180000000.0
Leman@gmail.com,Tasikmalaya,2018-10-08,KP0750AJ,35015,7,4.0,Swift Delivery,Y,Xn-409,Chan  Leman,18000000.0,Arabica Java 50kg,126000000.0
Hengky@gmail.com,Pekalongan,2018-10-07,KP0625AF,36905,5,4.0,Cepat Kirim,Y,Yt-410,Hengky Alexander,12000000.0,Arabica Flores 25kg,60000000.0
Mochamad@mex.com,Magelang,2018-10-06,KP0750AJ,36673,7,4.0,Pru Logistic,Y,Qr-410,Mochamad  Kahar,18000000.0,Arabica Java 50kg,126000000.0
Goenawan@ymail.com,Lhokseumawe,2018-10-05,KP0625AF,36494,9,4.0,Swift Delivery,Y,Lg-101,Edward  Goenawan,12000000.0,Arabica Flores 25kg,108000000.0
Wewengkang@ymail.com,Tebingtinggi,2018-10-04,KP0925SG,36262,8,4.0,JENT,Y,Li-662,Johanes  Wewengkang,15000000.0,Sidikalang Gold Blend 25kg,120000000.0
Salim@ymail.com,Tanjungpinang,2018-10-04,KP0925SG,35161,4,4.0,JENT,Y,Wd-809,Henny  Salim,15000000.0,Sidikalang Gold Blend 25kg,60000000.0
Buhay@icloudx.com,Palembang,2018-10-04,KP0850FB,36097,4,4.0,Swift Delivery,N,Vp-661,Nicholas Buhay,21000000.0,Flores Blend 50kg,84000000.0
Chung@ymail.com,Pekalongan,2018-10-04,KP0625AF,35713,7,4.0,JENT,Y,Pa-410,Chung Overseas ,12000000.0,Arabica Flores 25kg,84000000.0
Hartono@gmail.com,Kediri,2018-10-03,KP0925SG,36340,2,4.0,Wakanda Express,N,Iu-123,Soetikno  Hartono,15000000.0,Sidikalang Gold Blend 25kg,30000000.0
Soesanto@icloudx.com,Payakumbuh,2018-10-03,KP0425CB,35030,6,4.0,Pru Logistic,N,Gt-559,Soesanto Muchsin,27250000.0,Congo Blue Blend 25kg,163500000.0
Harlim@livex.com,Depok,2018-09-28,KP0350CF,36607,8,2.0,JENT,Y,Mn-409,Andry  Harlim ,35000000.0,Colombie Finest Blend 50kg,280000000.0
Dviyudha@rocketmail.com,Bukittinggi,2018-09-28,KP0850FB,36088,3,4.0,JENT,Y,Ak-559,Mario Dviyudha ,21000000.0,Flores Blend 50kg,63000000.0
Sindhu@ymail.com,Kendari,2018-09-28,KP0850FB,36332,9,4.0,Cepat Kirim,N,Ls-250,Sindhu Group,21000000.0,Flores Blend 50kg,189000000.0
Tirtanata@ymail.com,Medan,2018-09-28,KP0925SG,36693,4,4.0,JENT,Y,Dl-662,Jenny Tirtanata,15000000.0,Sidikalang Gold Blend 25kg,60000000.0
Jackson@gmail.com,Padangpanjang,2018-09-25,KP0225BB,36724,5,1.0,JENT,Y,Tc-559,Hindarto Jackson,10000000.0,Breakfast Blend 25kg,50000000.0
Said@gmail.com,Binjai,2018-09-24,KP0850FB,35678,2,4.0,Swift Delivery,N,Dj-662,Said Gina,21000000.0,Flores Blend 50kg,42000000.0
Imelda@gmail.com,Tual,2018-09-24,KP0625AF,35670,6,4.0,Swift Delivery,Y,Qv-171,Imelda Nurdin,12000000.0,Arabica Flores 25kg,72000000.0
Muljana@icloudx.com,Serang,2018-09-22,KP0225BB,36096,3,4.0,Swift Delivery,N,Qb-500,Muljana Iswandi,10000000.0,Breakfast Blend 25kg,30000000.0
Tjahjanto@ymail.com,Jakarta Utara,2018-09-19,KP0625AF,36995,2,4.0,JENT,Y,Fg-333,David  Tjahjanto ,12000000.0,Arabica Flores 25kg,24000000.0
Minny@icloudx.com,Probolinggo,2018-09-19,KP0425CB,36878,8,4.0,Wakanda Express,Y,Yu-123,Minny Rita,27250000.0,Congo Blue Blend 25kg,218000000.0
Djajadinata@icloudx.com,Mataram,2018-09-19,KP0925SG,36260,2,4.0,JENT,Y,Yv-183,Djajadinata Setiawan ,15000000.0,Sidikalang Gold Blend 25kg,30000000.0
Evi@livex.com,Kendari,2018-09-17,KP0425CB,36927,7,4.0,Swift Delivery,Y,Sk-250,Evi Tjokrosapoetro,27250000.0,Congo Blue Blend 25kg,190750000.0
Arianto@gmail.com,Jakarta Utara,2018-09-17,KP0625AF,36274,5,4.0,Pru Logistic,Y,Ps-333,Arianto Zain,12000000.0,Arabica Flores 25kg,60000000.0
Rudi@rocketmail.com,Blitar,2018-09-15,KP0225BB,36570,9,4.0,Pru Logistic,N,Ab-123,Rudi Wiria,10000000.0,Breakfast Blend 25kg,90000000.0
Piong@mex.com,Batu,2018-09-13,KP0850FB,35185,6,4.0,Cepat Kirim,N,Se-123,Piong  Lisangan,21000000.0,Flores Blend 50kg,126000000.0
Iwan@ymail.com,Bontang,2018-09-13,KP0850FB,36496,4,4.0,Wakanda Express,Y,Ft-993,Iwan Sim,21000000.0,Flores Blend 50kg,84000000.0
EDHIE@livex.com,Ambon,2018-09-12,KP0150BH,36663,3,4.0,JENT,Y,Ui-171,Ernitha Edhie ,27000000.0,Bali Honey 50kg,81000000.0
Sanyo@livex.com,Tebingtinggi,2018-09-10,KP0350CF,35038,7,4.0,Cepat Kirim,N,Tu-662,Sanyo Wen,35000000.0,Colombie Finest Blend 50kg,245000000.0
Susanto@gmail.com,Madiun,2018-09-10,KP0925SG,35993,5,4.0,Wakanda Express,Y,Th-123,Asia Susanto,15000000.0,Sidikalang Gold Blend 25kg,75000000.0
Mas@gmail.com,Banjar,2018-09-09,KP0750AJ,36031,4,4.0,JENT,N,Xb-409,Sugianto Mas,18000000.0,Arabica Java 50kg,72000000.0
Sofyan@ymail.com,Lubuklinggau,2018-09-08,KP0425CB,35483,9,2.0,JENT,Y,Ch-661,Belinda Sofyan ,27250000.0,Congo Blue Blend 25kg,245250000.0
Sung@outlookx.com,Semarang,2018-09-04,KP0925SG,35231,5,3.0,Wakanda Express,Y,Lp-410,Fadjar  Sung,15000000.0,Sidikalang Gold Blend 25kg,75000000.0
Didi@ymail.com,Parepare,2018-09-03,KP0225BB,36462,3,1.0,Cepat Kirim,Y,Nk-290,Didi  Boot,10000000.0,Breakfast Blend 25kg,30000000.0
Ivan@ymail.com,Pariaman,2018-09-02,KP0750AJ,36747,2,2.0,Swift Delivery,Y,Dl-559,Ivan Budiarto,18000000.0,Arabica Java 50kg,36000000.0
Y.S.@ymail.com,Jayapura,2018-09-01,KP0150BH,36430,7,4.0,JENT,Y,Jm-990,Agoeng Ys ,27000000.0,Bali Honey 50kg,189000000.0
Jacobus@gmail.com,Tidore Kepulauan,2018-08-26,KP0750AJ,36951,10,4.0,Cepat Kirim,Y,Fr-160,Jacobus Suwignjo,18000000.0,Arabica Java 50kg,180000000.0
Juwita@gmail.com,Bengkulu,2018-08-25,KP0925SG,36194,4,5.0,JENT,Y,Jv-300,Juwita Achmad,15000000.0,Sidikalang Gold Blend 25kg,60000000.0
Freddyanto@livex.com,Payakumbuh,2018-08-22,KP0150BH,36160,2,4.0,JENT,Y,Pk-559,Freddyanto  Ang,27000000.0,Bali Honey 50kg,54000000.0
Ameesh@livex.com,Padang,2018-08-22,KP0425CB,35856,6,4.0,JENT,Y,Bz-559,Ameesh Pacific ,27250000.0,Congo Blue Blend 25kg,163500000.0
Aluinanto@ymail.com,Banda Aceh,2018-08-21,KP0050AG,36204,9,4.0,Cepat Kirim,Y,Ig-101,Aluinanto Pribadi,16250000.0,Aceh Gayo 50kg,146250000.0
Hartono@ymail.com,Jakarta Selatan,2018-08-20,KP0750AJ,36513,6,4.0,Pru Logistic,Y,Ie-333,Hartono  Liu,18000000.0,Arabica Java 50kg,108000000.0
IRSANTO@ymail.com,Prabumulih,2018-08-20,KP0925SG,35770,7,4.0,JENT,Y,Oe-661,Irsanto Imam ,15000000.0,Sidikalang Gold Blend 25kg,105000000.0
NG@mex.com,Pekalongan,2018-08-20,KP0350CF,36291,10,4.0,JENT,N,Sf-410,Ng Tanuwidjaja ,35000000.0,Colombie Finest Blend 50kg,350000000.0
Sumarno@rocketmail.com,Pasuruan,2018-08-19,KP0350CF,35466,4,4.0,Swift Delivery,N,Ko-123,Rudy Sumarno,35000000.0,Colombie Finest Blend 50kg,140000000.0
Fong@ymail.com,Pematangsiantar,2018-08-18,KP0150BH,35322,6,5.0,Swift Delivery,Y,To-662,Endang Fong,27000000.0,Bali Honey 50kg,162000000.0
Lam@icloudx.com,Pangkalpinang,2018-08-18,KP0850FB,36873,7,4.0,Cepat Kirim,Y,Cl-120,Lam Supanini,21000000.0,Flores Blend 50kg,147000000.0
Afif@outlookx.com,Jakarta Selatan,2018-08-16,KP0050AG,36283,7,4.0,Swift Delivery,Y,Bw-333,Era Afif,16250000.0,Aceh Gayo 50kg,113750000.0
Arthur@livex.com,Tasikmalaya,2018-08-15,KP0750AJ,36288,4,1.0,JENT,Y,Wi-409,Arthur Ananto,18000000.0,Arabica Java 50kg,72000000.0
KURNIAWAN@gmail.com,Bandar Lampung,2018-08-14,KP0625AF,35594,8,4.0,JENT,N,Vh-150,Prayitno  Kurniawan ,12000000.0,Arabica Flores 25kg,96000000.0
Lintje@gmail.com,Meulaboh,2018-08-12,KP0150BH,36514,10,4.0,Wakanda Express,Y,Lj-101,Herry  Lintje,27000000.0,Bali Honey 50kg,270000000.0
Ricarda@outlookx.com,Sibolga,2018-08-09,KP0625AF,36530,4,4.0,Wakanda Express,N,Nl-662,Nurmalasari Ricarda,12000000.0,Arabica Flores 25kg,48000000.0
Sangeeta@icloudx.com,Cirebon,2018-08-06,KP0150BH,36157,8,4.0,Wakanda Express,N,Ih-409,Sangeeta  Sulistio,27000000.0,Bali Honey 50kg,216000000.0
Sengman@livex.com,Kendari,2018-08-05,KP0850FB,36773,2,4.0,Wakanda Express,N,Ib-250,Sengman Fie,21000000.0,Flores Blend 50kg,42000000.0
Edward@ymail.com,Parepare,2018-08-03,KP0750AJ,35404,4,3.0,Wakanda Express,Y,Gp-290,Edward Adjie,18000000.0,Arabica Java 50kg,72000000.0
Melina@gmail.com,Solok,2018-08-03,KP0925SG,36640,3,4.0,Wakanda Express,Y,Gk-559,Melina Rahmawaty,15000000.0,Sidikalang Gold Blend 25kg,45000000.0
Rat@rocketmail.com,Kupang,2018-08-02,KP0750AJ,35541,10,4.0,Cepat Kirim,N,Mj-185,Rat Liem,18000000.0,Arabica Java 50kg,180000000.0
Ari@gmail.com,Malang,2018-08-01,KP0625AF,35319,7,4.0,Wakanda Express,Y,Lw-123,Ari Christoph,12000000.0,Arabica Flores 25kg,84000000.0
Suhardjo@icloudx.com,Tanjungpinang,2018-07-26,KP0625AF,36302,10,4.0,Pru Logistic,Y,Sr-809,Ewik  Suhardjo,12000000.0,Arabica Flores 25kg,120000000.0
Elly@gmail.com,Bitung,2018-07-25,KP0425CB,35527,6,4.0,JENT,Y,Bq-221,Elly  Gondotirto,27250000.0,Congo Blue Blend 25kg,163500000.0
Anthony@gmail.com,Palangkaraya,2018-07-25,KP0750AJ,35567,3,4.0,JENT,Y,Vm-992,Anthony  Eloy,18000000.0,Arabica Java 50kg,54000000.0
Sundoro@livex.com,Padang Sidempuan,2018-07-23,KP0225BB,35889,6,4.0,JENT,Y,In-662,Aizid  Sundoro,10000000.0,Breakfast Blend 25kg,60000000.0
Narindra@outlookx.com,Bogor,2018-07-22,KP0350CF,35773,2,3.0,Cepat Kirim,Y,Ew-409,Michael Narindra,35000000.0,Colombie Finest Blend 50kg,70000000.0
Henry@ymail.com,Padang Sidempuan,2018-07-21,KP0850FB,35041,10,4.0,JENT,Y,Bu-662,Henry Steven,21000000.0,Flores Blend 50kg,210000000.0
