Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person
Andrew,Kalla,Kalla@livex.com,Banda Aceh,21-11-2018,KP0750AJ,35954,10,N/A,Wakanda Express,Y,Fi-101
Danamon,prakash,Danamon@ymailx.com,Subulussalam,20-11-2018,KP0625AF,35789,4,4,Cepat Kirim,Y,Hu-101
Okkie,Alatas ,Alatas@outlookx.com,Tangerang,19-11-2018,KP0425CB,36816,6,N/A,JENT,N,Rh-500
elly ,Winoto,Elly@icloudx.com,Lubuklinggau,18-11-2018,KP0225BB,36261,2 buah,4,JENT,Y,Ci-661
Ivan,Chondro,Chondro@gmailx.com,Padangpanjang,18-11-2018,KP0850FB,35409,7,N/A,Pru Logistic,Y,Oz-559
Han,El,"EL@ymailx.com,",Kupang,16-11-2018,KP0850FB,36974,3,4,Swift Delivery,Y,Gc-185
Fabian,Denisse,Denisse@gmailx.com,Pagaralam,16-11-2018,KP0150BH,36471,7,N/A,Swift Delivery,Y,Ux-661
Donny,nova,Donny@livex.com,Pekanbaru,16-11-2018,KP0750AJ,35436,10,N/A,Swift Delivery,Y,Xi-222
Kendra,say,Say@gmailx.com,Gorontalo,15-11-2018,KP0625AF,36899,10,N/A,Wakanda Express,Y,Lx-983
mahesa ,Chairil,Mahesa@livex.com,Tual,14-11-2018,KP0225BB,35519,7 buah,N/A,Cepat Kirim,Y,De-171
Johny,Yusuf,"YUSUF@ymailx.com,",Tegal,13-11-2018,KP0150BH,35911,10,4,Cepat Kirim,Y,Zv-410
Dominique,Kastono,Kastono@icloudx.com,Bekasi,11-11-2018,KP0850FB,36932,5,4,Pru Logistic,Y,St-409
Shinta ,Berliana,Shinta@livex.com,Manado,11-9-2018,KP0925SG,35905,10 buah,N/A,Pru Logistic,N,Il-221
ardy ,Ralhan,Ralhan@gmailx.com,Tual,11-9-2018,KP0425CB,36992,9 buah,4,Pru Logistic,Y,Uw-171
Lucky,Natawindjaja,Lucky@rocketmailx.com,Ternate,11-9-2018,KP0850FB,35543,6,N/A,JENT,Y,Op-160
Dewi,Dudaney,Dewi@livex.com,Palu,11-7-2018,KP0150BH,35367,10,1,JENT,Y,Wi-280
Lenny ,Gautama,Gautama@icloudx.com,Subulussalam,11-6-2018,KP0225BB,35696,10 buah,4,JENT,Y,Ds-101
Sri,Surjana,Surjana@outlookx.com,Pagaralam,11-6-2018,KP0425CB,35873,9,3,Wakanda Express,N,Nl-661
hendrik ,"Wijaya,",Hendrik@gmailx.com,Samarinda,11-3-2018,KP0850FB,36628,3 buah,N/A,Swift Delivery,Y,Ag-993
Edy,Zaini ,Edy@gmailx.com,Palopo,11-2-2018,KP0350CF,35884,2,N/A,JENT,Y,Om-290
Raju,Pribadi,Raju@livex.com,Cimahi,11-1-2018,KP0050AG,35388,4,N/A,JENT,N,Nt-409
Jeannie,Limited,Jeannie@ymailx.com,Blitar,11-1-2018,KP0050AG,35722,2,N/A,Wakanda Express,Y,Tc-123
Kindarto,Lipina ,Kindarto@gmailx.com,Bukittinggi,28-10-2018,KP0850FB,36254,8,2,JENT,Y,Ok-559
Song,Budiman,"Budiman@outlookx.com,",Bukittinggi,26-10-2018,KP0850FB,36287,10,4,Swift Delivery,N,Bo-559
Rachmat,raharja,Rachmat@ymailx.com,Magelang,26-10-2018,KP0625AF,36224,9,4,Swift Delivery,N,Tm-410
Listyani,Hadi,Listyani@ymailx.com,Jayapura,25-10-2018,KP0050AG,36016,2,3,Wakanda Express,Y,Hp-990
Drs,Joantina,"DRS@gmailx.com,",Mataram,24-10-2018,KP0925SG,35588,9,N/A,Cepat Kirim,Y,Yz-183
Iwa,miqailla,Miqailla@gmailx.com,Banjarmasin,24-10-2018,KP0850FB,35079,10,N/A,Wakanda Express,Y,Kk-991
Michael,Agustino,"Michael@gmailx.com,",Kediri,23-10-2018,KP0925SG,36328,9,N/A,Swift Delivery,Y,Fh-123
Amelia,Isenta,Isenta@gmailx.com,Sorong,22-10-2018,KP0625AF,35864,6,N/A,JENT,Y,Df-999
jusup ,Soetikno,Soetikno@ymailx.com,Bima,21-10-2018,KP0050AG,36255,3 buah,N/A,JENT,Y,Xe-183
Hendriko ,Is ,Is@gmailx.com,Bau-Bau,20-10-2018,KP0425CB,35835,4 buah,N/A,JENT,Y,Fj-250
Sri,Rais,Sri@rocketmailx.com,Kediri,17-10-2018,KP0750AJ,36435,4,5,Cepat Kirim,N,Pb-123
Jahja ,Tjung,Jahja@gmailx.com,Jakarta Selatan,16-10-2018,KP0350CF,35147,4 buah,N/A,Wakanda Express,Y,Sd-333
Raymond,Robert ,Raymond@ymailx.com,Mataram,16-10-2018,KP0925SG,35819,8,4,JENT,N,Na-183
betty ,"Eti,","ETI,@outlookx.com",Serang,15-10-2018,KP0050AG,35721,7 buah,5,JENT,Y,Kp-500
Angie,Yanto,Yanto@ymailx.com,Tual,15-10-2018,KP0625AF,35029,3,N/A,JENT,Y,Db-171
Budi,Atman,Budi@ymailx.com,Medan,15-10-2018,KP0850FB,36292,6,4,Wakanda Express,Y,Zz-662
Roni ,Zaini ,Roni@ymailx.com,Tanjungpinang,14-10-2018,KP0150BH,35113,6 buah,N/A,JENT,N,St-809
Agus,Suryadi ,Suryadi@livex.com,Ternate,14-10-2018,KP0625AF,35155,8,N/A,JENT,Y,Fs-160
Clarence,Paasch,Paasch@outlookx.com,Bau-Bau,14-10-2018,KP0850FB,35440,2,4,JENT,Y,Nn-250
isenta ,Faridz ,Isenta@ymailx.com,Tangerang Selatan,13-10-2018,KP0625AF,36626,3 buah,N/A,JENT,Y,Wr-500
nigel ,Widjaya,Nigel@rocketmailx.com,Tangerang Selatan,10-9-2018,KP0750AJ,35160,10 buah,N/A,Wakanda Express,N,Dh-500
Chan ,Leman,"Leman@gmailx.com,",Tasikmalaya,10-8-2018,KP0750AJ,35015,7 buah,4,Swift Delivery,Y,Xn-409
Hengky,Alexander,Hengky@gmailx.com,Pekalongan,10-7-2018,KP0625AF,36905,5,4,Cepat Kirim,Y,Yt-410
mochamad ,Kahar,Mochamad@mex.com,Magelang,10-6-2018,KP0750AJ,36673,7 buah,N/A,Pru Logistic,Y,Qr-410
edward ,Goenawan,Goenawan@ymailx.com,Lhokseumawe,10-5-2018,KP0625AF,36494,9 buah,N/A,Swift Delivery,Y,Lg-101
johanes ,Wewengkang,Wewengkang@ymailx.com,Tebingtinggi,10-4-2018,KP0925SG,36262,8 buah,N/A,JENT,Y,Li-662
henny ,Salim,Salim@ymailx.com,Tanjungpinang,10-4-2018,KP0925SG,35161,4 buah,N/A,JENT,Y,Wd-809
Nicholas,buhay,Buhay@icloudx.com,Palembang,10-4-2018,KP0850FB,36097,4,N/A,Swift Delivery,N,Vp-661
"Chung,",overseas ,"Chung,@ymailx.com",Pekalongan,10-4-2018,KP0625AF,35713,7,N/A,JENT,Y,Pa-410
Soetikno ,Hartono,Hartono@gmailx.com,Kediri,10-3-2018,KP0925SG,36340,2 buah,N/A,Wakanda Express,N,Iu-123
Soesanto,Muchsin,Soesanto@icloudx.com,Payakumbuh,10-3-2018,KP0425CB,35030,6,N/A,Pru Logistic,N,Gt-559
Andry ,Harlim ,Harlim@livex.com,Depok,28-9-2018,KP0350CF,36607,8 buah,2,JENT,Y,Mn-409
Mario,Dviyudha ,Dviyudha@rocketmailx.com,Bukittinggi,28-9-2018,KP0850FB,36088,3,4,JENT,Y,Ak-559
Sindhu,group,Sindhu@ymailx.com,Kendari,28-9-2018,KP0850FB,36332,9,N/A,Cepat Kirim,N,Ls-250
Jenny,tirtanata,Tirtanata@ymailx.com,Medan,28-9-2018,KP0925SG,36693,4,N/A,JENT,Y,Dl-662
Hindarto,Jackson,Jackson@gmailx.com,Padangpanjang,25-9-2018,KP0225BB,36724,5,1,JENT,Y,Tc-559
Said,Gina,Said@gmailx.com,Binjai,24-9-2018,KP0850FB,35678,2,N/A,Swift Delivery,N,Dj-662
Imelda,Nurdin,"Imelda@gmailx.com,",Tual,24-9-2018,KP0625AF,35670,6,N/A,Swift Delivery,Y,Qv-171
Muljana,Iswandi,Muljana@icloudx.com,Serang,22-9-2018,KP0225BB,36096,3,N/A,Swift Delivery,N,Qb-500
david ,Tjahjanto ,Tjahjanto@ymailx.com,Jakarta Utara,19-9-2018,KP0625AF,36995,2 buah,4,JENT,Y,Fg-333
Minny,Rita,Minny@icloudx.com,Probolinggo,19-9-2018,KP0425CB,36878,8,4,Wakanda Express,Y,Yu-123
Djajadinata,setiawan ,Djajadinata@icloudx.com,Mataram,19-9-2018,KP0925SG,36260,2,N/A,JENT,Y,Yv-183
Evi,Tjokrosapoetro,Evi@livex.com,Kendari,17-9-2018,KP0425CB,36927,7,N/A,Swift Delivery,Y,Sk-250
Arianto,zain,Arianto@gmailx.com,Jakarta Utara,17-9-2018,KP0625AF,36274,5,N/A,Pru Logistic,Y,Ps-333
Rudi,wiria,Rudi@rocketmailx.com,Blitar,15-9-2018,KP0225BB,36570,9,N/A,Pru Logistic,N,Ab-123
piong ,Lisangan,Piong@mex.com,Batu,13-9-2018,KP0850FB,35185,6 buah,4,Cepat Kirim,N,Se-123
Iwan,sim,Iwan@ymailx.com,Bontang,13-9-2018,KP0850FB,36496,4,N/A,Wakanda Express,Y,Ft-993
Ernitha,Edhie ,EDHIE@livex.com,Ambon,9-12-2018,KP0150BH,36663,3,N/A,JENT,Y,Ui-171
Sanyo,Wen,Sanyo@livex.com,Tebingtinggi,9-10-2018,KP0350CF,35038,7,N/A,Cepat Kirim,N,Tu-662
Asia,Susanto,Susanto@gmailx.com,Madiun,9-10-2018,KP0925SG,35993,5,N/A,Wakanda Express,Y,Th-123
Sugianto,Mas,Mas@gmailx.com,Banjar,9-9-2018,KP0750AJ,36031,4,N/A,JENT,N,Xb-409
Belinda,sofyan ,Sofyan@ymailx.com,Lubuklinggau,9-8-2018,KP0425CB,35483,9,2,JENT,Y,Ch-661
fadjar ,Sung,Sung@outlookx.com,Semarang,9-4-2018,KP0925SG,35231,5 buah,3,Wakanda Express,Y,Lp-410
Didi ,Boot,"Didi@ymailx.com,",Parepare,9-3-2018,KP0225BB,36462,3 buah,1,Cepat Kirim,Y,Nk-290
Ivan,Budiarto,Ivan@ymailx.com,Pariaman,9-2-2018,KP0750AJ,36747,2,2,Swift Delivery,Y,Dl-559
Agoeng,Y.S. ,Y.S.@ymailx.com,Jayapura,9-1-2018,KP0150BH,36430,7,N/A,JENT,Y,Jm-990
Jacobus,suwignjo,Jacobus@gmailx.com,Tidore Kepulauan,26-8-2018,KP0750AJ,36951,10,4,Cepat Kirim,Y,Fr-160
Juwita,Achmad,Juwita@gmailx.com,Bengkulu,25-8-2018,KP0925SG,36194,4,5,JENT,Y,Jv-300
freddyanto ,Ang,Freddyanto@livex.com,Payakumbuh,22-8-2018,KP0150BH,36160,2 buah,4,JENT,Y,Pk-559
Ameesh,Pacific ,Ameesh@livex.com,Padang,22-8-2018,KP0425CB,35856,6,N/A,JENT,Y,Bz-559
Aluinanto,Pribadi,Aluinanto@ymailx.com,Banda Aceh,21-8-2018,KP0050AG,36204,9,4,Cepat Kirim,Y,Ig-101
Hartono ,Liu,Hartono@ymailx.com,Jakarta Selatan,20-8-2018,KP0750AJ,36513,6 buah,N/A,Pru Logistic,Y,Ie-333
Irsanto,Imam ,IRSANTO@ymailx.com,Prabumulih,20-8-2018,KP0925SG,35770,7,N/A,JENT,Y,Oe-661
Ng,Tanuwidjaja ,NG@mex.com,Pekalongan,20-8-2018,KP0350CF,36291,10,N/A,JENT,N,Sf-410
Rudy,sumarno,"Sumarno@rocketmailx.com,",Pasuruan,19-8-2018,KP0350CF,35466,4,N/A,Swift Delivery,N,Ko-123
Endang,Fong,"Fong@ymailx.com,",Pematangsiantar,18-8-2018,KP0150BH,35322,6,5,Swift Delivery,Y,To-662
Lam,supanini,Lam@icloudx.com,Pangkalpinang,18-8-2018,KP0850FB,36873,7,N/A,Cepat Kirim,Y,Cl-120
Era,afif,Afif@outlookx.com,Jakarta Selatan,16-8-2018,KP0050AG,36283,7,N/A,Swift Delivery,Y,Bw-333
Arthur,Ananto,Arthur@livex.com,Tasikmalaya,15-8-2018,KP0750AJ,36288,4,1,JENT,Y,Wi-409
prayitno ,Kurniawan ,KURNIAWAN@gmailx.com,Bandar Lampung,14-8-2018,KP0625AF,35594,8 buah,N/A,JENT,N,Vh-150
Herry ,Lintje,Lintje@gmailx.com,Meulaboh,8-12-2018,KP0150BH,36514,10 buah,N/A,Wakanda Express,Y,Lj-101
Nurmalasari,ricarda,Ricarda@outlookx.com,Sibolga,8-9-2018,KP0625AF,36530,4,4,Wakanda Express,N,Nl-662
Sangeeta ,Sulistio,Sangeeta@icloudx.com,Cirebon,8-6-2018,KP0150BH,36157,8 buah,N/A,Wakanda Express,N,Ih-409
Sengman,Fie,Sengman@livex.com,Kendari,8-5-2018,KP0850FB,36773,2,N/A,Wakanda Express,N,Ib-250
Edward,Adjie,Edward@ymailx.com,Parepare,8-3-2018,KP0750AJ,35404,4,3,Wakanda Express,Y,Gp-290
Melina,rahmawaty,Melina@gmailx.com,Solok,8-3-2018,KP0925SG,36640,3,N/A,Wakanda Express,Y,Gk-559
Rat,liem,"Rat@rocketmailx.com,",Kupang,8-2-2018,KP0750AJ,35541,10,N/A,Cepat Kirim,N,Mj-185
Ari,Christoph,Ari@gmailx.com,Malang,8-1-2018,KP0625AF,35319,7,N/A,Wakanda Express,Y,Lw-123
ewik ,Suhardjo,Suhardjo@icloudx.com,Tanjungpinang,26-7-2018,KP0625AF,36302,10 buah,N/A,Pru Logistic,Y,Sr-809
elly ,Gondotirto,Elly@gmailx.com,Bitung,25-7-2018,KP0425CB,35527,6 buah,N/A,JENT,Y,Bq-221
anthony ,Eloy,Anthony@gmailx.com,Palangkaraya,25-7-2018,KP0750AJ,35567,3 buah,N/A,JENT,Y,Vm-992
aizid ,Sundoro,Sundoro@livex.com,Padang Sidempuan,23-7-2018,KP0225BB,35889,6 buah,N/A,JENT,Y,In-662
Michael,narindra,Narindra@outlookx.com,Bogor,22-7-2018,KP0350CF,35773,2,3,Cepat Kirim,Y,Ew-409
Henry,Steven,Henry@ymailx.com,Padang Sidempuan,21-7-2018,KP0850FB,35041,10,N/A,JENT,Y,Bu-662
sulaiman ,Dudaney,Sulaiman@rocketmailx.com,Kotamobagu,18-7-2018,KP0625AF,36048,6 buah,1,JENT,N,Zt-221
Brian ,Abdi,"BRIAN@ymailx.com,",Bau-Bau,16-7-2018,KP0225BB,36068,9 buah,N/A,Cepat Kirim,Y,Tw-250
Ago,Wibowo,Wibowo@gmailx.com,Sabang,16-7-2018,KP0625AF,35754,8,N/A,Pru Logistic,Y,Ew-101
Emily,sindoro,"Sindoro@gmailx.com,",Jakarta Pusat,15-7-2018,KP0625AF,35138,8,N/A,Swift Delivery,Y,Et-333
achirsyah ,Setiadi,Setiadi@livex.com,Surabaya,14-7-2018,KP0350CF,35266,6 buah,N/A,JENT,Y,Ng-123
Dewi,Soraya,Dewi@icloudx.com,Mojokerto,14-7-2018,KP0625AF,35472,8,4,JENT,Y,Fe-123
Jo,Onggowarsito ,Jo@ymailx.com,Metro,14-7-2018,KP0350CF,35838,7,N/A,JENT,Y,Mm-150
Jogi,Hermawan,Jogi@gmailx.com,Palu,13-7-2018,KP0850FB,35582,2,N/A,Cepat Kirim,Y,Ik-280
James,indra,Indra@gmailx.com,Sawahlunto,13-7-2018,KP0150BH,36029,6,2,Swift Delivery,Y,Wf-559
Mochammad,tjahjadi,Mochammad@mex.com,Cilegon,13-7-2018,KP0050AG,36908,10,4,Cepat Kirim,Y,Uo-500
Lucia,Irawan,Lucia@outlookx.com,Mojokerto,7-12-2018,KP0925SG,35934,9,4,JENT,Y,Tt-123
George ,Hakim,George@ymailx.com,Pontianak,7-10-2018,KP0050AG,35165,9 buah,N/A,Pru Logistic,Y,Lv-880
hilmi ,Charles,Charles@gmailx.com,Bogor,7-10-2018,KP0750AJ,35698,8 buah,N/A,Swift Delivery,Y,Oc-409
herman ,Noveda,"Noveda@gmailx.com,",Sibolga,7-10-2018,KP0425CB,36455,7 buah,5,Cepat Kirim,Y,Hi-662
andry ,Prasetio ,Prasetio@livex.com,Palembang,7-9-2018,KP0850FB,36363,3 buah,N/A,JENT,Y,Ed-661
Indra,Purna,Indra@ymailx.com,Pontianak,7-9-2018,KP0925SG,36610,2,5,Wakanda Express,Y,Pa-880
Jennie,gosal ,Jennie@gmailx.com,Padang,7-8-2018,KP0850FB,36779,10,N/A,JENT,Y,Po-559
mario ,Setiawan,Setiawan@rocketmailx.com,Cilegon,7-7-2018,KP0550EH,36448,10 buah,4,Swift Delivery,Y,Fy-500
fahmi ,Sutanto,Fahmi@ymailx.com,Dumai,7-5-2018,KP0050AG,36738,3 buah,N/A,Wakanda Express,Y,Mi-222
Samudra,abdullah,Abdullah@livex.com,Bau-Bau,7-5-2018,KP0150BH,36953,9,N/A,Wakanda Express,N,Ug-250
Finney,Tee,Finney@outlookx.com,Cilegon,7-3-2018,KP0925SG,35662,4,2,Pru Logistic,Y,Ee-500
Hastuti ,Arwin,Arwin@ymailx.com,Parepare,28-6-2018,KP0925SG,35735,10 buah,N/A,Wakanda Express,Y,Wi-290
I,Hardjono ,Hardjono@ymailx.com,Pontianak,27-6-2018,KP0225BB,36853,2,N/A,JENT,Y,Kq-880
Gahral,Santoso ,Gahral@ymailx.com,Bandung,26-6-2018,KP0925SG,36664,5,4,JENT,Y,Gw-409
meiliana ,Syarfuan,Syarfuan@outlookx.com,Binjai,25-6-2018,KP0350CF,35260,6 buah,N/A,Wakanda Express,Y,Zn-662
Made,Tjoa,Made@outlookx.com,Surakarta,24-6-2018,KP0850FB,36895,8,N/A,Cepat Kirim,Y,Mg-410
candra ,Sik,"Sik@outlookx.com,",Kediri,21-6-2018,KP0925SG,35832,3 buah,N/A,Cepat Kirim,Y,Mk-123
Freddy,ali,Freddy@livex.com,Sabang,19-6-2018,KP0850FB,35578,10,N/A,Pru Logistic,Y,Gw-101
philip ,Setiawan,Setiawan@icloudx.com,Palembang,18-6-2018,KP0925SG,35101,3 buah,4,Wakanda Express,N,Qj-661
harjanto ,Texania ,Harjanto@ymailx.com,Binjai,17-6-2018,KP0225BB,36315,5 buah,N/A,JENT,Y,Xm-662
Bambang ,Soewarno,Soewarno@outlookx.com,Pangkalpinang,16-6-2018,KP0925SG,35345,2 buah,4,Wakanda Express,Y,Yj-120
Reza,Magdalena ,Reza@ymailx.com,Sungai Penuh,16-6-2018,KP0750AJ,35028,10,N/A,JENT,N,Ca-512
Prem,Tjahja,Prem@mex.com,Pematangsiantar,16-6-2018,KP0750AJ,36417,5,N/A,Cepat Kirim,N,Fd-662
jusuf ,Wijaya ,Jusuf@gmailx.com,Surabaya,6-12-2018,KP0425CB,35892,2 buah,N/A,JENT,Y,Ie-123
Johan ,Rosabella,Rosabella@gmailx.com,Ambon,6-11-2018,KP0850FB,35032,10 buah,4,Wakanda Express,Y,Oj-171
liliana ,E.P. ,E.P.@ymailx.com,Depok,6-9-2018,KP0225BB,35314,8 buah,N/A,JENT,Y,An-409
Rusdi,moon-tae,Moon-Tae@icloudx.com,Kupang,6-9-2018,KP0925SG,35611,5,N/A,Wakanda Express,N,Ku-185
Rosan,Hartanto,Hartanto@mex.com,Kendari,6-8-2018,KP0925SG,36175,3,3,Pru Logistic,N,Iv-250
Chang,U.,U.@gmailx.com,Batam,6-5-2018,KP0850FB,35276,6,N/A,JENT,Y,As-809
Ginawan,strachan,Strachan@gmailx.com,Jayapura,6-3-2018,KP0750AJ,35009,8,N/A,JENT,Y,Gt-990
Christina,Richard,Richard@gmailx.com,Depok,6-1-2018,KP0750AJ,35857,4,N/A,Cepat Kirim,Y,Ah-409
Lilyani,muljadi,Muljadi@ymailx.com,Banjarmasin,6-1-2018,KP0750AJ,35851,3,N/A,Swift Delivery,Y,Xy-991
meiriaty ,Kenneth,Meiriaty@mex.com,Surakarta,28-5-2018,KP0925SG,36744,3 buah,4,Wakanda Express,Y,Ge-410
ronny ,Pinder,Pinder@gmailx.com,Tebingtinggi,27-5-2018,KP0625AF,35741,9 buah,N/A,Cepat Kirim,N,Da-662
Rita,haryani,Rita@icloudx.com,Padang Sidempuan,24-5-2018,KP0750AJ,35489,10,N/A,Swift Delivery,N,Pe-662
marvin ,Rahardjo,Marvin@mex.com,Pagaralam,23-5-2018,KP0750AJ,36900,7 buah,N/A,JENT,Y,Ld-661
Andhika,Budihartono,Andhika@livex.com,Tebingtinggi,23-5-2018,KP0850FB,35823,8,N/A,Swift Delivery,Y,Ug-662
erics ,Wen,Wen@livex.com,Balikpapan,22-5-2018,KP0425CB,35990,3 buah,5,Swift Delivery,Y,Ir-993
Para,Setiawan,Para@ymailx.com,Kupang,22-5-2018,KP0850FB,36433,10,N/A,JENT,N,Zg-185
martin ,"Husodho,","Husodho,@gmailx.com",Tual,20-5-2018,KP0925SG,36063,2 buah,N/A,Cepat Kirim,Y,Pn-171
Goh,Yantony,Yantony@ymailx.com,Ternate,19-5-2018,KP0425CB,35581,8,N/A,Pru Logistic,Y,Pt-160
Daniel,prijatna,Prijatna@icloudx.com,Pasuruan,19-5-2018,KP0750AJ,35916,5,N/A,Swift Delivery,Y,Ft-123
